identificación, métodoDbId, nombre, clase, descripción, fórmula,identificación, rasgo_ontologías_id, método_ontologías_id, escala_ontologías_id, observaciónVariableDbId, nombre, sinónimos, etapa de crecimiento,identificación, escalaDbId, nombre, tipo de datos, valores validos,identificación, crop_ontologías_id, rasgoDbId,name, nombre, clase, descripción
1, CO_321:0000351, Estimación AgrScr, Estimacion," Para la puntuación agronómica, observe signos visualmente detectables de factores que limitan los rendimientos y la tasa.", NULO,1,1,1,1, CO_321:0001043, AgrScr_E_1to5, AGRSCR_1_5, Generalmente DS69-DS81,1, CO_321:0000462, Escala de puntuación del 1 al 5, Ordinal," {'min': Ninguno, 'max': Ninguno, 'categorías': ['1= muy pobre (VP)', '2= pobre (P)', '3= regular (F)', '4= bueno (G)', '5= muy bueno (VG)']}",1,1, CO_321:0000162,'Agronomic score', Puntuación agronómica, Agronómico, Calificación de atributos agronómicos generales y salud de las plantas.
2, CO_321:0000231, Cálculo de días HD DS55, Cálculo,"Número de días requeridos desde la siembra hasta la emergencia de la espiga de la hoja bandera (DS55). Sin embargo, cuando se siembra en suelos secos en zonas de secano se cuenta desde el primer día de lluvia o riego suficiente para la germinación, o desde la fecha de emergencia.", xxxx,2,2,2,2, CO_321:0001235, hd_dto_day," DTH_días, DTH, CABEZA, DÍASHD", Rumbo (emergencia de picos) (DS55),2, CO_321:0000434, día, Duración," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",2,1, CO_321:0000007,'Heading time', tiempo de rumbo, Fenológico, El tiempo de espigado se extiende desde el momento en que emerge la punta de la espiga de la vaina de la hoja bandera hasta cuando la espiga ha emergido por completo pero aún no ha comenzado a florecer.
3, CO_321:0000232, Cálculo DT Mat DS87, Cálculo,"Número de días requeridos desde la siembra hasta la madurez fisiológica (aprox. DS87). Sin embargo, cuando se siembra en suelos secos en zonas de secano se cuenta desde el primer día de lluvia o riego suficiente para la germinación, o desde la fecha de emergencia.", xxxx,3,3,3,2, CO_321:0001290, mat_dto_day," DTM_días, MDT, DÍASMT, MAT", Madurez fisiológica (DS87 aprox.),2, CO_321:0000434, día, Duración," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",3,1, CO_321:0000022,'Maturity time', tiempo de madurez, Fenológico," El tiempo de madurez comienza en la etapa de masa dura (ds87), a menudo denominada madurez fisiológica."
4, CO_321:0000690, Estimación de dos dígitos, Estimacion,"El método se mejoró mediante el uso de dos dígitos, que representan el progreso vertical de la enfermedad y una estimación de la gravedad. El primer dígito indica la altura relativa de la enfermedad utilizando como medida la escala original de Saari-Prescott de 0 a 9. El segundo dígito muestra la gravedad de la enfermedad como porcentaje, pero en términos de 0 a 9. Debido a que es difícil evaluar las enfermedades en las hojas muertas, se deben tomar notas de las enfermedades cuando al menos cuatro hojas todavía estén vivas y verdes (etapa de crecimiento de blanda a media masa). Luego evalúe visualmente el porcentaje de gravedad promedio solo en aquellas hojas de las cuatro superiores que están infectadas. En la práctica, el porcentaje de gravedad se estima sobre una puntuación global. Se utiliza el siguiente formato para calificar la gravedad: 10% de cobertura = 1, 20% de cobertura = 2, 30% de cobertura = 3, 40% de cobertura = 4, 50% de cobertura = 5, 60% de cobertura = 6, 70% de cobertura = 7 , 80% de cobertura = 8, 90% de cobertura = 9. No se utiliza la puntuación de 10.", NULO,4,4,4,3, CO_321:0001319, EgramSev_E_00to99texto, EGRAM_00_99text__SEV,La evaluación de la enfermedad se lleva a cabo durante la temporada de crecimiento comenzando con la aparición de la enfermedad.,3, CO_321:0000728, Dos dígitos (00-99) + texto, Texto," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",4,1, CO_321:0000939,'Powdery mildew severity', Gravedad del mildiú polvoriento, Estrés biótico, Severidad del mildiú polvoroso en las plantas causado por el agente Blumeria graminis (Erysiphe graminis) f. sp. tritici.
4, CO_321:0000690, Estimación de dos dígitos, Estimacion,"El método se mejoró mediante el uso de dos dígitos, que representan el progreso vertical de la enfermedad y una estimación de la gravedad. El primer dígito indica la altura relativa de la enfermedad utilizando como medida la escala original de Saari-Prescott de 0 a 9. El segundo dígito muestra la gravedad de la enfermedad como porcentaje, pero en términos de 0 a 9. Debido a que es difícil evaluar las enfermedades en las hojas muertas, se deben tomar notas de las enfermedades cuando al menos cuatro hojas todavía estén vivas y verdes (etapa de crecimiento de blanda a media masa). Luego evalúe visualmente el porcentaje de gravedad promedio solo en aquellas hojas de las cuatro superiores que están infectadas. En la práctica, el porcentaje de gravedad se estima sobre una puntuación global. Se utiliza el siguiente formato para calificar la gravedad: 10% de cobertura = 1, 20% de cobertura = 2, 30% de cobertura = 3, 40% de cobertura = 4, 50% de cobertura = 5, 60% de cobertura = 6, 70% de cobertura = 7 , 80% de cobertura = 8, 90% de cobertura = 9. No se utiliza la puntuación de 10.", NULO,15,15,4,3, CO_321:0001342, SepSpSev_E_00to99texto, SEPSP_00_99text__SEV, La evaluación de la enfermedad se lleva a cabo durante la temporada de crecimiento comenzando con la aparición de la enfermedad. Principalmente de DS61.,3, CO_321:0000728, Dos dígitos (00-99) + texto, Texto," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",15,1, CO_321:0000714,'Septoria blotch severity', Gravedad de la mancha septoria, Estrés biótico, Severidad de la mancha por Septoria en las plantas causada por el agente Septoria.
5, CO_321:0000386, Determinación de sedimentación SDS, Medición,"Se pesa una pequeña muestra de harina o trigo molido (1,0 gramos) y se coloca en una probeta graduada con tapón de vidrio de 25 mililitros. Este se mezcla con diferentes soluciones durante algunos minutos y luego se deja reposar. Finalmente, se registra el volumen del sedimento después de 21 minutos.", NULO,5,5,5,4, CO_321:0001422, WMFlrSDS_M_ml, WMFLRDS_ml, Después de la cosecha (De DS87),4, CO_321:0000427, ml, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",5,1, CO_321:0000147,'Whole meal flour SDS sedimentation', Sedimentación SDS de harina integral, Calidad," Prueba de la calidad de la harina integral mediante sedimentación SDS, una prueba que estima la calidad general de la proteína del gluten."
6, CO_321:0000258, Computación GrnSpk, Cálculo, El número de granos por espiga se puede medir de forma independiente trillando un número conocido de espigas seleccionadas al azar por parcela (10-20 espigas por parcela) o se puede calcular como: Granos por espiga (GSP) = granos m2 / espigas m2., xxxx,6,6,6,5, CO_321:0001200, GrnSpk_Calc_GrnSpk," GRNSPK, granos/espiga, GRNSPK_num", Después de la madurez fisiológica (DS87),5, CO_321:0000435,grano/espiga, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",6,1, CO_321:0000038,'Grain number per spike', Número de granos por espiga, Agronómico, Número de granos por espiga.
7, CO_321:0001028, Computación GY, Cálculo, Utilice fórmulas para calcular el rendimiento de grano en g/m2, xxxx,7,7,7,6, CO_321:0001219, GY_Calc_tha," Yld_tha, GY_tha, GRNYLD_t_ha", Después de la madurez fisiológica (DS87),6, CO_321:0000432, t/ha, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",7,1, CO_321:0000013,'Grain yield', Producción de grano, Agronómico, Cantidad (peso) de granos que se cosecharon.
8, CO_321:0000355, Estimación de alojamiento, Estimacion, Estimación del área alojada en la parcela muestreada., NULO,8,8,8,7, CO_321:0001280, Alojamiento_E_pct, LODG_pct, Después del evento,7, CO_321:0000410, %, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",8,1, CO_321:0000167,'Lodging incidence', Incidencia de alojamiento, Agronómico, Indica incidencia de plantas acamadas.
9, CO_321:0000235, Estimación de GMoi, Estimacion, El contenido de humedad se determina secando una muestra de trigo en grano en un horno de aire y comparando el peso de la muestra antes y después del calentamiento. La cantidad de peso perdido es el contenido de humedad. Los resultados del contenido de humedad se expresan como porcentaje., NULO,9,9,9,7, CO_321:0001198, GMoi_E_pct,GRNH20_pct, Después de la madurez fisiológica (DS87),7, CO_321:0000410, %, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",9,1, CO_321:0000012,'Grain moisture content', Contenido de humedad del grano, Agronómico, Contenido de humedad del grano.
10, CO_321:0001026, Cálculo del coeficiente de infección por óxido, Cálculo," Coeficiente de infección (CI) calculado multiplicando la gravedad por una constante para la respuesta del huésped: donde inmune = 0,0, R = 0,2, MR = 0,4, MS = 0,8 y S = 1,0.", xxxx,10,10,10,7, CO_321:0001379, ProgramaCI_Calc_pct, PGRAM_pct__CI, La evaluación de la enfermedad se lleva a cabo durante la temporada de crecimiento comenzando con la aparición de la enfermedad. Principalmente de DS61.,7, CO_321:0000410, %, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",10,1, CO_321:0000688,'Stem rust coefficient of infection', Coeficiente de infección de la roya del tallo., Estrés biótico, Incidencia/severidad/respuesta de la roya del tallo (roya negra) en las plantas causada por el agente Puccinia graminis f.sp. tritici.
10, CO_321:0001026, Cálculo del coeficiente de infección por óxido, Cálculo," Coeficiente de infección (CI) calculado multiplicando la gravedad por una constante para la respuesta del huésped: donde inmune = 0,0, R = 0,2, MR = 0,4, MS = 0,8 y S = 1,0.", xxxx,12,12,10,7, CO_321:0001262, PrecoCI_Calc_pct, PRECO_pct__CI, La evaluación de la enfermedad se lleva a cabo durante la temporada de crecimiento comenzando con la aparición de la enfermedad. Principalmente de DS61.,7, CO_321:0000410, %, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",12,1, CO_321:0000897,'Leaf rust coefficient of infection', Coeficiente de infección de la roya de la hoja., Estrés biótico, Incidencia/severidad/respuesta de la roya de la hoja (roya parda) en las plantas causada por el agente Puccinia recondita.
10, CO_321:0001026, Cálculo del coeficiente de infección por óxido, Cálculo," Coeficiente de infección (CI) calculado multiplicando la gravedad por una constante para la respuesta del huésped: donde inmune = 0,0, R = 0,2, MR = 0,4, MS = 0,8 y S = 1,0.", xxxx,13,13,10,7, CO_321:0001391, PstriCI_Calc_pct, PSTRI_pct__CI, La evaluación de la enfermedad se lleva a cabo durante la temporada de crecimiento comenzando con la aparición de la enfermedad. Principalmente de DS61.,7, CO_321:0000410, %, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",13,1, CO_321:0000689,'Stripe rust coefficient of infection', Coeficiente de infección por roya lineal, Estrés biótico,Incidencia/severidad/respuesta de la roya lineal (roya amarilla) en las plantas causada por el agente Puccinia striiformis f.sp. tritici.
11, CO_321:0000241, Medición de PH, Medición, Mida la longitud de los culmos individuales desde la superficie del suelo hasta la punta de la espiga (no incluya la arista) y regístrela al centímetro más cercano. (Promedio de 4 a 10 plantas/culmos por parcela)., NULO,11,11,11,8, CO_321:0001301, PH_M_cm, PH_cm, DS75-DS89,8, CO_321:0000411, cm, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",11,1, CO_321:0000020,'Plant height', Altura de planta, Agronómico," Altura de la planta desde el suelo hasta la punta de la espiga, excluyendo las aristas."
13, CO_321:0000277, Medición de SpkLng, Medición," Medido en centímetros desde la base de la púa hasta la punta, excluyendo las aristas (un promedio de 6 a 10 púas aleatorias en la parcela).", NULO,16,16,13,8, CO_321:0001364, SpkLng_M_cm, SPKLNG_cm, DS75-DS89,8, CO_321:0000411, cm, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",16,1, CO_321:0000056,'Spike length', longitud de la punta, Morfológico, Longitud de la espiga.
12, CO_321:0000398, Medición de SedIdx, Medición, Método estándar para el índice de sedimentación., NULO,14,14,12,9, CO_321:0001139, SedIdx_M_mlpct, SEDINDX_ml_pct, Después de la cosecha (De DS87),9,CO_321:0000631, ml/%, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",14,1, CO_321:0000160,'Flour SDS sedimentation index', Índice de sedimentación SDS de harina, Calidad, Es el resultado de dividir el volumen de sedimentación entre el contenido de proteína de la harina.
14, CO_321:0000246, Medición de GW, Medición, Secar los granos a 70°C y pesar., NULO,17,17,14,10, CO_321:0001213, GW_M_g1000grn," TGW, TKW, PENSAMIENTO, TGW_g", Después de la madurez fisiológica (DS87),10, CO_321:0001033, g/1000 grano, Numérico," {'min': Ninguno, 'max': Ninguno, 'categorías': []}",17,1, CO_321:0000025,'Grain weight', Peso del grano, Agronómico," El peso del grano generalmente se expresa como peso de uno, cien, doscientos o mil granos."
,,,,,,,,,,,,,,,,,,,,,, FUSARIUM SPP (%),,,"Fusarium spp. es uno de los hongos filamentosos patógenos más ubicuos en el mundo1. Las especies de Fusarium en el ser humano causan infecciones localizadas, localmente invasivas y diseminadas."
,,,,,,,,,,,,,,,,,,,,,,OTHER_UNIDENTIFIED_FOLIAR_BLIGHTS  (double_digit),,,Otras plagas florales
,,,,"Coeficiente de infección (CI) calculado multiplicando la gravedad por una constante para la respuesta del huésped: donde inmune = 0,0, R = 0,2, MR = 0,4, MS = 0,8 y S = 1,0.",,,,,,,,,,,,,,,,,, STRIPE_RUST_ON_LEAF  (Coefficient_of_Infection),,,Incidencia/severidad/respuesta de la roya lineal (roya amarilla) en las plantas causada por el agente Puccinia striiformis f.sp. tritici.
,,,,,,,,,,,,,,,,,,,,,,SELECTED_CHECK_MARK  (mark),,,boolean para indicar si fue check el experimento
,,,,,,,,,,,,,,,,,,,,,,Yellow color index (b-value)  (real),,,Nivel del canal azul para definir en grados de color amarillo R=100 G= 100 B = ?
