1000_GRAIN_WEIGHT,PLANT_HEIGHT,LODGING_PERCENT_HARVESTED_AREA,AGRONOMIC_SCORE,DAYS_TO_HEADING,RELATIVE_MATURITY,LEAF_RUST,STRIPE_RUST_ON_LEAF,SELECTED_CHECK_MARK,STEM_RUST,DAYS_TO_MATURITY,SEPTORIA_SPECIES,TEST_WEIGHT,GRAIN_PROTEIN,GRAIN_SDS_SEDIMENTATION,SEDIMENTATION_INDEX,YELLOW_COLOR_VALUE,FUSARIUM_SPP,OTHER_UNIDENTIFIED_FOLIAR_BLIGHTS,GRAINS_SPIKE,MOISTURE_PERCENTAGE,SPIKE_LENGTH,TILLERS_BY_METER,POWDERY_MILDEW,GLUTEN_CONTENT,GRAIN_YIELD
43.5,66,,5,70,,,,,,,,,,,,,,,,,,,,,2
43.5,80,,5,68,,,,,,,,,,,,,,,,,,,,,5
38.6,89,,2,121,,,,0,,,,,,,,,,,,,,,,,2
34.5,89,,1,127,,,,0,,,,,,,,,,,,,,,,,2
38.6,87,,2,,,,,,,,,,,,,,,,,,,,,,2
34.5,87,,2,,,,,,,,,,,,,,,,,,,,,,2
,93,,,95,,,,,,142,,,,,,,,,,,,,,,4
,95,,,92,,,,,,146,,,,,,,,,,,,,,,5
,100,1,,100,,,,,,,,,,,,,,,,,,,,,7
,100,,,103,,,,,,,,,,,,,,,,,,,,,7
,95,,,96,,,,,,150,,,,,,,,,,,,,,,4
,110,,,96,,,,,,151,,,,,,,,,,,,,,,4
38.3,100,,5,93,,,,,,,,,,,,,,,,,,,,,6
31.1,90,,3,90,,,,,,,,,,,,,,,,,,,,,4
,105,,,87,,,,,,138,,,,,,,,,,,,,,,8
,100,,,88,,,,,,141,,,,,,,,,,,,,,,9
59,82,,,81,,,,,,,,,,,,,,,,,,,,,3
49,83,,,81,,,,,,,,,,,,,,,,,,,,,3
35,85,0,2,64,,,,,,,,,,,,,,,,,,,,,5
,,0,,,,,,,,,,,,,,,,,,,,,,,6
45.6,94,0,4,118,,,,,,163,5,,,,,,,,,,,,,,8
41.6,108,0,3,120,,,,,,164,7,,,,,,,,,,,,,,7
,91,,4,85,,,,,,,,,,,,,,,,,,,,,4
,82.7,,5,85,,,,,,,,,,,,,,,,,,,,,3
,75,,4,124,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,1
45.6,99,,2,175,,,,,,,,,,,,,,,,,,,,,6
,98,,3,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,4,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,7
,96,,,113,,,,,,,,,,,,,,,,,,,,,5
,106,,,114,,,,,,,,,,,,,,,,,,,,,4
42.25,84.5,,,118,,,,,,,,83.9,11.23,,,,,,,,,,,34.8,8
40.1,91.6,,,116,,,,,,,,81.8,9.49,,,,,,,,,,,36.6,7
,93,,4,93,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,6
41.8,100,,,109,,,40,,,,,82.2,,,,,,,,,,,,,4
,105,,,117,,,,,,,3,,,,,,,,,,,,,,9
,105,,,117,,,,,,,3,,,,,,,,,,,,,,9
,105,,,117,,,,,,,3,,,,,,,,,,,,,,10
,105,,,117,,,,,,,3,,,,,,,,,,,,,,10
,95,,,,,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,9
,95,,,,,,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,9
42,82,,3,70,,,,,,,,,,,,,,,,,,,,,3
38,82,,3,73,,,,,,,,,,,,,,,,,,,,,3
35.2,92,,,115,,,,,,,,,,,,,,,,,,,,,4
,93,,,115,,,,,,,,,,,,,,,,,,,,,4
45.9,93,,,70,,,,,,,,,,,,,,,,,,,,,5
42.1,88,,,71,,,,,,,,,,,,,,,,,,,,,5
51.6,82,,3,70,,,,,,,,,,,,,,,,,,,,,3
50.2,89,,3,71,,,,,,,,,,,,,,,,,,,,,4
,85,,,56,,0,,,10,108,,,,,,,,,,,,,,,4
31,88,,2,91,,,10,,,,,,,,,,,,,,,,,,2
43,90,,3,56,,,,,,,,,,,,,,,,,,,,,3
45,80,,3,58,,,,,,,,,,,,,,,,,,,,,3
37.77,90.2,,,48,,,,,10,,,,,,,,,,,,,,,,3
39.91,89.3,,,45,,,,,,,,,,,,,,,,,,,,,3
60.335,90,,5,70,,,,,,,,,,,,,,,,,,,,,4
52.541,83.33,,5,70,,,,,,,,,,,,,,,,,,,,,4
36.1,84.2,40,4,85,,,,,,123,,,,,,,,9,51,11.1,8,373,,,4
31.3,86,40,5,86,,,,,,123,,,,,,,,4,55,12.1,7,328,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,6
,75,,,,4,,,,,,,,,,,,,,,,,,,,3
,65,,,,4,,,,,,,,,,,,,,,,,,,,3
39.8,,,,69,,,,,,,,77.2,13.9,9,0.65,17.5,,,,,,,,,3
36.8,,,,70,,,,,,,,76,15.7,10,0.64,18,,,,,,,,,3
54.4,,,,71,,,,,,,,80,12.2,7.5,0.62,15.5,,,,,,,,,6
54.3,,,,70,,,,,,,,80.5,12.1,8,0.66,15.2,,,,,,,,,6
,75,,,91,,0,16,,,,,,,,,,,,,,,,,,4
,70,,,91,,0,30,,,,,,,,,,,,,,,,,,3
,81,0,4,129,,,,0,,,,,,,,,,,,,,,,,6
,86,0,3,133,,,,0,,,,,,,,,,,,,,,,,6
43.6,67,0,2,,,,,,,,,,,,,,,,,,,,,,0
42.2,68,0,2,,,,,,,,,,,,,,,,,,,,,,1
41.71,93,60,,169,,60,,,,,1,78.2,,,,,,,,,,,2,,6
,,100,,170,,12,,,,,2,,,,,,,,,,,,3,,7
34.7,75,0,3,98,,1,,,,,2,,,,,,20,,,,,,,,3
33.4,80,0,4,98,,5,,,,,1,,,,,,1,,,,,,,,5
,80,20,,82,,30,10,,30,153,,,,,,,,,,,,,,,4
,80,20,,83,,,,,,153,,,,,,,,,,,,,,,5
38,70,,5,73,,,,,,,,,,,,,,,,,,,,,4
41,82,,5,72,,,,,,,,,,,,,,,,,,,,,3
42.3,91,,1,126,,,,0,,,,,,,,,,,,,,,,,2
38.9,90,,1,129,,,,0,,,,,,,,,,,,,,,,,2
40.8,94,,2,,,,,,,,,,,,,,,,,,,,,,2
38.9,90,,1,,,,,,,,,,,,,,,,,,,,,,2
,90,,,105,,,,,,146,,,,,,,,,,,,,,,3
,100,,,107,,,,,,150,,,,,,,,,,,,,,,4
,100,,,102,,,,,,,,,,,,,,,,,,,,,8
,110,,,102,,,,,,,,,,,,,,,,,,,,,7
,95,,,97,,,,,,149,,,,,,,,,,,,,,,5
,95,,,100,,,,,,150,,,,,,,,,,,,,,,5
30,95,,5,91,,,,,,,,,,,,,,,,,,,,,6
30.4,95,,3,94,,,,,,,,,,,,,,,,,,,,,5
,105,,,92,,,,,,140,,,,,,,,,,,,,,,6
,110,,,90,,,,,,142,,,,,,,,,,,,,,,7
45,89,,,83,,,,,,,,,,,,,,,,,,,,,4
45,87,,,86,,,,,,,,,,,,,,,,,,,,,4
39,85,5,2,66,,,,,,,,,,,,,,,,,,,,,5
,,0,,,,,,,,,,,,,,,,,,,,,,,6
43.6,93,40,3,122,,,,,,165,5,,,,,,,,,,,,,,6
46,99,0,3,121,,,,,,164,6,,,,,,,,,,,,,,6
,79,,4,95,,,,,,,,,,,,,,,,,,,,,4
,79,,5,94,,,,,,,,,,,,,,,,,,,,,4
,80,,5,125,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,2
43.6,101,,2,178,,,,,,,,,,,,,,,,,,,,,8
,104,,3,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,4,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,8
,99,,,119,,,,,,,,,,,,,,,,,,,,,4
,96,,,115,,,,,,,,,,,,,,,,,,,,,7
50.48,84.9,,,118,,,,,,,,79.2,9.72,,,,,,,,,,,34.8,5
47.25,80.9,,,119,,,,,,,,78.2,10.27,,,,,,,,,,,34.4,7
,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,3
,93,,4,93,,,,,8,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,7
38.8,105,,,110,,,40,,,,,85.2,,,,,,,,,,,,,6
,100,,,120,,,,,,,,,,,,,,,,,,,,,9
,105,,,120,,,,,,,,,,,,,,,,,,,,,9
,100,,,120,,,,,,,,,,,,,,,,,,,,,9
,105,,,120,,,,,,,,,,,,,,,,,,,,,9
,95,,,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,7
,95,,,,,,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,11
39,89,,3,71,,,,,,,,,,,,,,,,,,,,,2
41,80,,3,76,,,,,,,,,,,,,,,,,,,,,2
45.8,84,,,118,,,,,,,,,,,,,,,,,,,,,4
,86,,,124,,,,,,,,,,,,,,,,,,,,,3
